Yellow 1,YellowID,Red 2,RedID,Lavender 3,LavenderID,Blue 4,BlueID,Green 5,GreenID,Orange 6,OrangeID,Grey 7,GreyID,Bronze 8,BronzeID ,Brown9,BrownID,Gold 10,GoldID,Ruby 11,RubyID,Teal 12,TealID,Silver 13,SilverID,Navy 14,NavyID,Pink 16,PinkID,Raven 21,RavenID,Illini 22,IlliniID,Link 24,LinkID
Savoy Walmart,MTD5430,Lincoln Square,MTD0101,Illinois Terminal,MTD3121,Illinois Terminal,MTD3121,Main and Brady,MTD6357,US and 150 & Dodson Dr,MTD2634,Urbana Walmart,MTD0127,Lincoln Square,MTD0101,Parkland College,MTD3534,Brownfield and Columbia,MTD3656,Lincoln Square,MTD0101,Orchard Downs South Shelter,MTD7317,Pennsylvania Ave. Residence Hall,MTD5524,Illinois Terminal,MTD3121,Round Barn Road,MTD4568,Vet-Med,MTD5511,Pennsylvania Ave. Residence Hall,MD5524,Water Survey,MTD1216
The Place at 117,MTD7234,Florida and Philo,MTD7036,Bloomington at Home Depot,MTD7764,Transit Plaza,MTD7411,Washington and Lierman,MTD7344,Butzow and Lierman,MTD2446,Main and Brady,MTD6537,Pennsylvania and Race,MTD5714,Bradley and McKinley,MTD7503,High Cross and Kyle,MTD3615,Country Club and Willow,MTD2223,Pennsylvania Ave. Residence Hall,MTD5524,Illini Union,MTD0100,Lot E-14,MTD3513,Parkland College,MTD3534,Pennsylvania Ave. Residence Hall,MTD5524,Illinois Street Residence Hall,MTD1444,Lot E-14,MTD3513
Fox and Windsor,MTD2111,Trails and Philo,MTD6424,Paula,MTD1553,State and John,MTD1661,Florida and Philo,MTD7036,University and Cottage Grove,MTD5343,Lincoln Square,MTD0101,Windsor and Vine,MTD5295,Illinois Terminal,MTD3121,Town and Country Apartments,MTD6603,Willow and Beason,3841,Illini Union,MTD0100,Lincoln Square,MTD0101,Windsor and Prospect,MTD2641,Fieldstone at Horizon Hobby,MTD0600,Illini Union,MTD0100,Gregory at Library,MTD1455,Transit Plaza,MTD7411
Lot E-14,MTD3513,Urbana Meijer,MTD5053,Mattis,MTD1611,Kirby and Crescent,MTD4573,Lincoln Square,MTD0101,Lincoln Square,MTD0101,Park and Wright,MTD4255,Race and Sherwin,MTD0443,Transit Plaza,MTD7411,Lincoln Square,MTD0101,Airport and Cunningham,MTD7442,Illinois Terminal,MTD3121,NA,NA,Stephens Family YMCA,MTD0209,Kirby and Cobblefield,MTD5563,Florida Ave. Residence Hall,MTD1366,Third and Daniel,MTD4505,University and Wright,MTD6365
Transit Plaza,MTD7411,Florida and Anderson,MTD5305,Campbell and Queensway,MTD1611,Round Barn Road,MTD4568,Illini Union,MTD0100,Park and Wright,MTD4255,Fifth and Beardsley,MTD2054,Orchard Downs South Shelter,MTD7317,Lot E-14,MTD3513,Chemical and Life Sciences,MTD6242,NA,NA,NA,NA,NA,NA,Carle at the Fields South,MTD1018,Stephens Family YMCA,MTD0209,Vet-Med,MTD5511,Illini Union,MTD0100,NA,NA
Illnois Terminal,MTD3121,Illini Union,MTD0100,Champaign Walmart,MTD1374,NA,NA,Illinois Terminal,MTD3121,Illinois Terminal,MTD3121,Illinois Terminal,MTD3121,Transit Plaza,MTD7411,Fox and Devonshire,MTD3112,Lot E-14,MTD 3513,NA,NA,NA,NA,NA,NA,Mullikin and Curtis Meadow,MTD226,Duncan and Crestrdge,MTD0269,NA,NA,University and Goodwin,MTD1327,NA,NA
Market Place,MTD3171,Illinois Terminal,MTD3121,Interstate and Research,MTD4450,NA,NA,Springfield and Willis,MTD3315,Round Barn Road,MTD4568,Bradley and McKinley,MTD7503,NA,NA,Windsor and Galen,MTD9396,Prospect and Kirby,MTD5725,NA,NA,NA,NA,NA,NA,NA,NA,Round Barn Road,MTD4568,NA,NA,Lincoln and Killarney,MTD4225,NA,NA
Champaign Walmart,MTD1374,Market Place,MTD3171,NA,NA,NA,NA,Round Barn Road,MTD4568,Plastipak,MTD3216,Parkland College,MTD3534,NA,NA,Windor and Winchester,MTD3511,Devonshire and Mayfair,MTD3102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Parkland College,MTD3534,NA,NA,NA,NA,NA,NA,Round Barn Road,MTD4568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clayton and Pomona,MTD1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parkland College,MTD3534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
